Population,Public Flows per Capita (USD),Renewable Energy Share of Electricity Production (%),SDG 7b1 RE capacity per capita (W/inhabitant),Total Non-Renewable,Total Renewable
-0.24010041518435787,-0.4048956561339714,-0.9309702535382889,-0.2761532884586644,-0.1714656200378311,-0.25181937865901793
-0.26075689332446206,0.2844037201791872,-0.8424923955493654,-0.3737598072929481,-0.2220919628218241,-0.25508295331717845
-0.26359968392265154,-0.4048956561339714,-0.5677590951219336,-0.1664410731158219,-0.2205138413958942,-0.2540056068798747
0.5127431644573024,-0.34550383782024857,-0.4879544091428999,-0.19849634549340658,0.35284868671007086,0.19333022343971615
-0.26453377109863474,7.737297456213988,-0.7721759965168098,-0.2832394460328055,-0.2222658560637362,-0.2551176137163463
-0.26347111988550714,-0.4048956561339714,-0.9356771006876301,-0.2594484879424868,-0.2181721314877305,-0.2548627680103956
-0.02392143544402909,-0.22080984369435044,0.7345151030677586,-0.3399552152039023,-0.21353972033502025,-0.20030045868163193
-0.23662513173056046,-0.1674681496670491,-0.5140552530462607,-0.36976154387597904,-0.2216654616015308,-0.25461496421842483
1.0834749917247788,0.2423439516265266,1.587898163070753,0.25046365160359263,-0.011095434706173126,3.7866599030282675
-0.2638574530015895,0.368835410617398,-0.7575126136545749,-0.36466546034067754,-0.22222828632747782,-0.2551031970449845
-0.15317126116548307,-0.31674976858614573,0.8402686169262663,-0.3535344604733668,-0.22028242339699244,-0.2427727864555154
-0.19135585615886147,-0.15859835793116495,1.102441517602268,-0.3494683742636233,-0.22139811049259944,-0.24670683676968863
0.018945321746830453,-0.21080304936791405,-0.09656304655870604,-0.06562046403471256,-0.008150381378861654,0.0782315217603328
-0.24162441843423832,0.13520964693657805,1.6949794813014665,0.48071993890815484,-0.21933466016671802,-0.16800004577189837
-0.1933981845562621,0.015516023830523314,0.3233453049400827,0.8045095441280113,-0.15371622018127662,-0.046448496532188306
-0.22643949659962223,-0.17692037527823085,0.39316059385016844,0.9352167637315817,-0.1735682175500139,-0.11242220950782525
-0.23290918888560738,-0.36256579770903924,2.068800877593781,-0.37219507538692115,-0.22227615590893118,-0.2538802197171909
1.0749940753540679,-0.23869618285296332,-0.028352021777776005,-0.32670787259055817,-0.04701777861859429,0.061010892386779106
-0.2640207571749075,1.474536169048619,-0.9441097502385215,-0.33746841279645196,-0.22158304888298083,-0.25507908322959383
0.07629269906655434,-0.36673798693676507,0.7731285869362129,-0.3282748074572952,-0.2085565254606961,-0.18156843377612192
-0.21114858869893643,-0.287064949686874,-0.9266164467447808,-0.25744277422628514,-0.08493600406938147,-0.2424946934963557
0.3399089449236223,-0.06469697128347861,0.281609087501519,-0.1851143248260081,-0.051974501734921776,0.22105165705000157
-0.2569352666564837,-0.16353277199291824,-0.827874986906934,-0.2125961227323037,-0.21184718467304367,-0.2527376735589536
-0.26038930818409806,0.4208290603457602,0.7924383581245361,0.6714398913509199,-0.21981653403960255,-0.24146442372820784
-0.24003995440262546,7.672538867535638e-06,-0.7841142498696271,-0.36689591302331015,-0.22045741007975334,-0.2543342707374793
-0.25821098288647215,0.08088975905946162,-0.8814473053668918,-0.37517710979651825,-0.22174943243710785,-0.25506299732977883
-0.14243069563218227,-0.3384418263820554,-0.8738062396859452,-0.3767651003254179,-0.22138676728485143,-0.25501647693090057
-0.11071808023364366,-0.3896240128143517,0.838389970116067,-0.369403691060191,-0.22089214788855607,-0.24779920250448828
-0.2008684830212997,-0.40407794145739684,-0.9764348268838587,-0.37719226948404383,-0.2216884352208687,-0.25511705452272637
-0.2642829497500326,0.24531645587431733,-0.9161500824832738,-0.3211036339452741,-0.22179770377310745,-0.2550756148927652
-0.26442185566533555,-0.4048956561339714,-0.9597707730291432,-0.34906361005598613,-0.2218556181486838,-0.25510824148093303
-0.22755580010971402,-0.3965322976285439,-0.9835712241482845,-0.3769956737851323,-0.17594259394871634,-0.2550930484533805
0.0967317014602618,0.0582305309119188,-0.9283762621644602,-0.3019522771393026,0.3045300293802531,-0.21663247468486088
0.6043011505119625,-0.4048956561339714,-0.6054586450682261,0.167032394115981,2.0352431996389972,1.006250414953396
-0.23379882703563828,-0.13399103368139179,-0.3871117940614469,0.1987767959029394,-0.1686675233749703,-0.20008227711718538
-0.20592793835822695,-0.05424852849116769,0.46345042596346725,-0.24272230120343405,-0.2132461199528538,-0.22072438005416092
-0.17821273008508248,-0.38778936029729283,-0.9197717170582438,-0.37681024062317586,-0.22151867686652188,-0.25504704423322827
-0.24529698732402866,0.08753266657777599,-0.9137475346668601,-0.3398988067637011,-0.20827966529929348,-0.2531580105077386
-0.24590169668076484,-0.20723239073273547,-0.7552038666741429,-0.3209057993121417,-0.21325898312852243,-0.2521369676431297
-0.2616214651940321,-0.389330097608959,-0.853987339820597,-0.23395393514535856,-0.2175815018527641,-0.2543872847148461
-0.25038435738912596,-0.2958048594593247,2.10435041028065,-0.3333922325629973,-0.22227917320343277,-0.250600092259688
-0.12863647806720593,-0.37069857141046014,-0.7471174666729349,-0.2938553862872385,-0.15742733134422837,-0.23265395572894754
-0.238556791966793,-0.08671424076155029,1.5482438822119104,0.46535650061930395,-0.21804495353249329,-0.17984080153758908
-0.2645306242675664,5.882484219978938,-0.9335667398387617,-0.31498861104517134,-0.22219078803033204,-0.25511573776583046
-0.19703178962662787,-0.33292177519086497,-0.9575899733092207,-0.37702689146439644,-0.22141307341989822,-0.255098912678034
-0.19642392423495852,-0.36608076897440883,-0.11910449298028945,-0.3696586284058972,-0.22078765469465308,-0.2532483409495629
-0.17876794996383819,-0.3633404302566717,-0.7952104476265065,-0.377045079182429,-0.221839584255007,-0.2550160668277379
-0.2619477217155132,0.4748729435438296,-0.9351974722102995,-0.35728382760859556,-0.22092481282831813,-0.2550069155134785
1.4184385887240525,-0.29169190052816457,-0.4592006841785525,-0.3402843815896803,0.17453548829347665,0.0695032255721582
-0.2643625429915134,-0.4048956561339714,-0.9841527878233246,-0.37728706329573186,-0.22191795017010743,-0.25512334346725396
-0.06037935600612616,-0.2906640304834515,1.0069017991039935,-0.2051443192102223,-0.18722093136402174,-0.028269309482823655
0.20147412914403373,-0.3364818215347508,-0.6065311638937508,-0.2573717394717673,0.10723342764767478,-0.06284522280532569
0.8782401966972274,-0.3797031722818084,-0.0859034523470874,-0.3613105075757011,-0.17524988040650327,-0.18125025260638425
-0.15057425948013692,-0.17663127489547628,-0.6422587378792676,-0.1788032556504355,-0.04151826732800322,-0.16647918487519547
-0.26273178797339086,-0.1589160084445052,-0.9378263155929004,-0.32451063496158816,-0.21986092254094064,-0.25495407484854793
-0.2566896906201264,0.7567867461545592,-0.7477062321959154,-0.3211707696810103,-0.22102491546327327,-0.2545290187900503
-0.06309273788990075,-0.2874510787356085,-0.982352244589527,-0.3752570732405903,0.41814927588787143,-0.2528915804314943
-0.06376616627029458,-0.11207146851970871,-0.5357759852637277,-0.30106714916860516,-0.11416211162879394,-0.18257238636402567
-0.15960662986440208,-0.3730276348015663,1.868243734678584,-0.3468694212140277,-0.22192878895676477,-0.23958896516911793
-0.26100019333412156,0.37340474803115925,-0.6415337718097865,-0.3367810343030126,-0.22159583462320032,-0.25468894816534904
-0.26267361360981645,-0.4035670026829185,-0.14886367518299837,-0.09904945775306688,-0.22113334907734533,-0.25340265834288656
-0.19028447315011932,-0.25793533668563556,-0.37327143527438816,0.37325253557363613,-0.11418448871603405,-0.15140167695218587
-0.11484847340787493,-0.2519563054218009,-0.14162136188912333,-0.33928312891634527,-0.20806103390110933,-0.2356529357522077
-0.03949657056599205,-0.05984204880234197,-0.5987411716014753,-0.30350375822950576,-0.1697575236758366,-0.2210812825631412
-0.19333698805914257,-0.3680997326058006,-0.7456434653496572,-0.03335836599101041,-0.03853807888044226,-0.19235144202652765
-0.2342197681678994,-0.4048956561339714,1.3186784949648618,1.4923579552408162,-0.1960443784330466,0.05675384741096139
-0.257031661701624,-0.36309824277581615,-0.9657100536249328,-0.3767696584734678,-0.22165334838146664,-0.2551086361321435
-0.249917958071671,-0.36242520172639736,-0.9810299937543279,-0.3763656451013798,-0.21843685661481022,-0.2551019721645609
-0.25611034384891823,-0.164269947528564,-0.2684540895376261,-0.21162672505156854,-0.21742928340302448,-0.24936122030218985
8.285403641264963,-0.37865175354540637,-0.5007078379623663,-0.3105539592492145,1.8863664621275755,1.3791399650821208
-0.2584844712758085,-0.18721426308413844,0.8523659683267962,-0.1548133674731926,-0.2213414516258265,-0.24973295209141652
-0.22577088748160232,-0.2272141554120014,1.766965546744131,0.3188796859303186,-0.21847968586188507,-0.13131363257557607
-0.20673703259661186,0.017988803172461796,1.1502700858989598,2.060094016342531,-0.1729922315891196,0.1917364080301989
-0.03434132407621552,-0.2781721606072995,-0.791259191764841,-0.314483664925818,-0.09439135934714869,-0.22496808581906452
-0.259980922014134,-0.26131995579297956,-0.7893495732336764,-0.37480131147682194,-0.2221725284619583,-0.2550939818348148
-0.029146747690714125,-0.3870266982781303,0.9582701151651907,2.6652994272386574,0.33423399047568925,3.5599227171236634
-0.24281579757268373,-0.4048956561339714,-0.9802123787472742,-0.37107730335329614,-0.08496353397400222,-0.25412041947821945
-0.2142960197998543,-0.28117713821935414,-0.6136544950010705,0.13699191564482263,-0.12784557341581212,-0.20251621265971703
-0.2609851230446417,-0.4048956561339714,-0.4648267188032645,0.07726931233660023,-0.21602797347057062,-0.2511013293656584
-0.09442412891112406,-0.14665659279867657,1.2156718366653192,-0.31675170149178195,-0.21617131909981993,-0.20179554989834142
-0.19941981459248184,-0.1277236502879783,0.7470754801635022,2.753601269132877,-0.06074637079851621,0.5848160175765302
0.04498947305924408,-0.1343855478002716,-0.08969400803038538,0.7000874340238898,0.24884514951121414,0.5228191668454273
-0.19699727810258028,-0.2997393407230805,-0.6119792808205243,-0.28224715826786534,-0.18754493120798502,-0.23520125055108057
0.17937817070428155,-0.19675833111032945,-0.5160852791243591,0.3545470768642423,0.9114750344334871,0.5567256193293149
0.04546069846774677,-0.3142340782058445,1.3350806993531414,-0.09803455631017825,-0.1831685022135652,0.20405561595435467
-0.2570168645590998,-0.3699493502319956,2.0542390639114285,-0.21997259452863707,-0.22226491712014657,-0.25147227519342674
-0.25248378686070455,-0.32078219527865715,-0.9803159336667514,-0.35537184014186385,-0.14961112675801505,-0.2545799379838492
-0.21922539839992086,-0.29889164291447323,0.7579551271820948,-0.3688173141870339,-0.22215574595668358,-0.25395506145626995
-0.22065566800608533,1.5191011279260482,2.0150595006116876,0.1921720958765774,-0.21914863726650893,-0.11043044702819739
0.025306961253747866,-0.24174378081347755,1.3328183907568945,-0.34057656260654184,-0.21799252807929753,-0.19677627014554275
-0.25064663279903426,-0.30500148641773095,-0.10707730834470167,0.36973282151969517,-0.19577217587433685,-0.21241502178667077
-0.23897493185826446,-0.08345393435447608,0.19150871567371003,0.1875301440462309,-0.20005396324220187,-0.201683648531307
-0.26437453770565245,-0.4048956561339714,-0.9723136513325573,-0.3599346447940279,-0.2218753531259947,-0.25511614411041017
-0.17509038575064712,-0.18083296704227142,-0.860666090123138,-0.36997907722538353,-0.21660673779149628,-0.25366140504032625
-0.25133554890871185,-0.1511712337361098,-0.265823752264256,-0.01566542077352575,-0.21088011878209634,-0.24138492385198415
-0.21813152203628045,-0.31689945674938896,0.4710105772819702,-0.36406510671562614,-0.22168323122785752,-0.2536394991836126
1.8534254356405433,-0.39886784909211886,-0.6008723144220639,0.28260156193926206,8.671261756770013,4.86913155574545
-0.12525140050481265,-0.27791957357326263,0.055247035062126984,0.14074105033585516,-0.128047330909798,-0.061121700368446136
-0.2633408626341366,-0.12072939427465292,0.4541074853388064,-0.36366831090006313,-0.222175067910471,-0.2548798574518601
0.24355504580939946,-0.2057290879015393,-0.10966421820791179,0.02816764266347196,0.1534380979410315,0.38864521231159166
-0.1493642748774282,-0.3507180002110597,-0.4102149571297868,-0.37394114699568887,-0.22095386166700834,-0.253937485904743
-0.2618891465384713,-0.4048956561339714,-0.9835876574306448,-0.37440142585730246,-0.21334911468293957,-0.2551160877316658
-0.1724199137691095,-0.24186897333806714,0.8328278153883447,-0.2967286279679065,-0.213732602423888,-0.20645297875888685
0.3943917826157126,-0.3838821086227889,-0.10991440034704608,-0.31055519671221243,-0.09345629745494066,-0.06459957606296035
-0.2112691337946407,-0.38571673087470637,0.23655157575389413,-0.33211112075868676,-0.2181318426196343,-0.24436935982968233
-0.264270549768943,-0.4048956561339714,0.3221692414864936,0.7518042307108145,-0.2218707817464855,-0.2538881311166949
-0.26385146158249734,0.9304140266336457,-0.8992870583584915,-0.3578406276818747,-0.22210070330937073,-0.25510341546041637
0.06252365258733808,-0.3655387363616006,0.776098260412953,-0.36039802391426023,-0.2159479515626822,-0.2318904802019705
-0.26343665972496316,-0.22958602113989282,-0.969003552162755,-0.37038544325324874,-0.22142903029166638,-0.2551044269368521
-0.24983695960786298,-0.25401744484945066,1.9292349812885312,-0.19304040274828327,-0.22207054111640653,-0.2414955385307863
-0.1221205360636533,-0.20473509842495455,1.6220812234297048,-0.33221457229796614,-0.22013973988590363,-0.2143521895959882
-0.21620159954910376,-0.4048956561339714,-0.9766318362962185,-0.37163896252443296,-0.13254694006054865,-0.2542345935350818
-0.264388459887222,-0.4048956561339714,-0.9774726271784904,-0.36719671586301594,-0.2218183489529468,-0.25511785175993357
-0.22379630220129065,-0.05888282561030436,0.3270517777137796,-0.28333785841027487,-0.21748023727253218,-0.23916147229600324
-0.215354363604251,0.20482339958796245,-0.11992452683693805,0.01870698910874286,-0.1592061083856176,-0.15650278147357727
-0.2522683897032605,-0.1783965582675135,-0.888555699519473,-0.3227603045056321,-0.21010793610224984,-0.25341090759723633
-0.2608397254356593,-0.3214650212363641,0.8221099428144845,0.03366671940750747,-0.22068943852784156,-0.24640610210679642
0.2177987611045481,-0.37720022519502716,2.097785176662688,-0.33082851740117836,-0.22220973107768302,-0.17221695576366136
-0.011376386303244843,-0.4042191029290487,-0.9609198974381241,-0.36515497832127786,-0.09576150187319173,-0.25102750119111666
-0.19354606691184426,-0.10699273329920461,0.2105192547512006,-0.29581354355156575,-0.2113088118707959,-0.23010313117979767
-0.262868420237187,0.10948404041678526,-0.5183022652399538,-0.3519857605563415,-0.22214769907985518,-0.2550165186929334
-0.24130492437820142,-0.1477498488358498,-0.9750942023890232,-0.36318100340288506,-0.16591476356508245,-0.25396868089042457
-0.2523188179754515,0.1433085111965582,0.6744458289302852,-0.21632007941315773,-0.2202920574819659,-0.24590791237636347
-0.2638160201712051,-0.16238321388957813,-0.9644311326080789,-0.3660569859465687,-0.221817961465546,-0.25510942543456444
0.7207472978976829,-0.39777679115653447,-0.460731317080115,0.044478074460368604,1.8901660059173948,1.4793592006625969
-0.09538938185784707,-0.3955721944149663,0.7687902624983173,-0.1487232594867264,-0.19910147620286123,-0.13258672893661905
-0.2503170355715262,-0.2124765604398947,0.8973688584898503,0.6191491852127118,-0.21713915800125166,-0.22330168006165943
-0.1114636538505952,-0.40284260178845543,-0.5809150736449834,0.5469029617417756,0.28430683851796323,0.060257103145702456
-0.14640267633879256,-0.04811236078685139,0.46933619154898276,0.20874864919559374,-0.1382424807929803,0.04109764466916431
-0.26392285061764637,-0.4048956561339714,-0.7174336132301604,-0.10493554779982323,-0.22026949461167905,-0.2543168075258207
8.930336195904962,-0.3977568495923981,-0.347460038675542,-0.03415042666127368,8.395625667342795,9.963982704673567
-0.03125825174222644,-0.21640020668504412,1.778359944794786,-0.35616182416669256,-0.22167023892418367,-0.22907855148862624
-0.24537575221767663,-0.3425136770946764,-0.7521875011222724,-0.34808005171296624,-0.21121672178817089,-0.25168023967653536
-0.2638828788265757,1.6467420650684155,-0.845672035475394,-0.3420230638049245,-0.22215230664415372,-0.25509417435778625
-0.2623975395282664,3.2654698132068964,2.1068742404874827,8.097757238358339,-0.2222723385170457,-0.10981946138798634
-0.2623709388744721,-0.29685642780303717,1.2929195829656361,-0.16307872012735317,-0.222109300711922,-0.25262212887217295
-0.1888855857539672,-0.05797151608456243,-0.921280846545572,-0.35414627754695643,-0.18339263565755493,-0.25145096569854225
-0.22263808607224883,0.05136312854718369,0.9831704225579916,-0.19224899398496023,-0.21745148060016922,-0.21947860399739122
-0.25345753438084917,-0.35635586284345044,-0.8964523796498777,-0.37710483506890535,-0.22222566592842224,-0.25511585219380045
-0.2620562076700248,0.3318123200674515,-0.9702370399849714,-0.3722375003678117,-0.21759262981270835,-0.2550380165345861
-0.2554511865062601,1.453298198566849,-0.6198359919387277,-0.02406295081638553,-0.20023397429813247,-0.24448957267649546
-0.26447778814558165,5.700825012396021,-0.9333908758305386,-0.2996468202903357,-0.2220576902435663,-0.25510871798572793
-0.06719738161938328,-0.3644191504512022,-0.6516340532100213,-0.17122554792269382,0.04132599701545282,-0.11441016161957542
-0.19172750584468498,-0.29649689293952197,0.9905541357568349,-0.36902567286971144,-0.22179234111113919,-0.2526336994609957
0.2965860320199421,-0.31470671688321117,-0.30550016622897935,0.6774433944373649,0.9242810503344395,1.0472236465316191
-0.2642594047793551,2.0458709126908596,-0.948221444104228,-0.35820831416937454,-0.22209822196329118,-0.2551145208201931
-0.2004096923310537,-0.32980042255594916,1.714737312304394,-0.3697579603251746,-0.22218472883567217,-0.25339654772223924
-0.1656040276090723,-0.09389119633587527,1.9826197667311296,-0.1960728177335337,-0.22077439110844468,-0.14506543358141324
-0.26409885285851414,-0.4048956561339714,2.0712530847721666,0.3656337583930792,-0.2222770974371486,-0.2541777349449703
-0.0783046935537549,-0.3071685619608931,2.095456298726668,-0.3393323580333452,-0.22225957459108492,-0.21869083674876352
-0.1898036430633394,0.08650656486562472,-0.6323140181517171,0.12312571137714805,-0.04199510241728594,-0.1609028622471633
0.7648495044099887,-0.2790767502741458,-0.8943075382538522,-0.374361002407071,-0.10784429724961753,-0.2442305658015911
-0.06067941565626909,-0.35652537277352275,1.505792987391493,-0.3660761004579452,-0.22183857407907498,-0.24770037181849677
-0.21120327717293888,0.15600267640229026,-0.8321379207697048,-0.32308402161663313,-0.18859401302542145,-0.24521993216427965
-0.2242717031954283,-0.20538510915113561,2.107665264718665,1.3456305249707015,-0.22227702816912337,0.25763583511941407
-0.1655131480541439,-0.3787540950081772,0.9128136589905074,-0.24147208350896818,-0.21373023914360662,-0.19649094316705196
0.07527141981954388,-0.4048956561339714,-0.9097536077242718,-0.1828187424278666,0.8796591054128325,-0.13241012857542506
-0.26324837299666426,0.30017075012369016,0.2633501671184572,-0.2724364103722658,-0.22209680176200391,-0.25463262579973944
-0.25077324235095155,-0.21457360439928155,-0.9667650152458872,-0.3761198742693337,-0.22161765560192154,-0.25510426698826627
0.04780946004322155,-0.2774849310467089,-0.757638510496103,-0.19113720788640406,0.1617221597567631,-0.1368655093800564
-0.16035811800363986,0.10700300638816752,0.9185549990933161,-0.1431732771097497,-0.20373251972235717,-0.12535164467367554
-0.2597907722454583,0.3470699598942976,2.107249794555108,1.8661080377300425,-0.22227914942485694,-0.1950688382023018
0.35187900131505095,-0.16327629226922316,-0.6281272129008629,-0.3259971221916308,0.098854167683329,-0.09802319429827548
-0.25486227988850324,-0.40409794161947854,-0.9788902865088183,-0.37330868452983823,-0.20262080250314177,-0.25500701490711664
-0.23076707277973815,0.07360529340651091,2.0401642381919696,7.473624095060866,-0.21513986754557882,1.0291534746751982
-0.20222281777379572,-0.23543190365172936,-0.6922395502475975,-0.2344598694210933,-0.17278123932336534,-0.23487000454698462
